28089 individus au total dans la vague
196 bacs dans le fichier

Id Bac;Nombre d'individus
01034;20857;5;5;5
01034;21725;4;4;4
01053;10976;6;6;6
01053;13686;6;6;6
01053;13918;12;13;12
01053;13982;12;13;12
01053;14126;2;2;2
01053;14343;12;13;12
01053;14464;0;0;0
01053;14544;2;2;2
01053;14729;6;6;6
01053;14764;6;6;6
01053;14848;0;0;0
01053;15003;0;0;0
01053;15037;0;0;0
01053;15141;6;6;6
01053;15416;0;0;0
01053;15433;12;13;12
01053;15435;6;6;6
01053;15464;12;13;12
01053;15899;0;0;0
01053;15911;0;0;0
01053;15984;20;21;20
01053;15991;5;5;5
01053;16058;0;0;0
01053;16347;68;80;68
01053;16394;12;13;12
01053;16487;20;21;20
01053;16680;0;0;0
01053;16720;6;6;6
01053;16799;0;0;0
01053;16800;0;0;0
01053;16991;0;0;0
01053;17023;12;13;12
01053;17046;3;3;3
01053;17054;6;6;6
01053;17062;12;13;12
01053;17095;2;2;2
01053;17182;0;0;0
01053;17261;3;3;3
01053;17292;6;6;6
01053;17432;0;0;0
01053;17477;56;63;56
01053;17496;4;5;4
01053;17609;12;13;12
01053;17675;68;80;68
01053;17678;6;6;6
01053;17723;6;6;6
01053;17757;6;6;6
01053;17970;0;0;0
01053;18044;6;6;6
01053;18056;5;5;5
01053;18195;3;3;3
01053;18245;20;21;20
01053;18277;12;13;12
01053;18346;0;0;0
01053;18358;0;0;0
01053;18400;20;21;20
01053;18455;6;6;6
01053;18471;3;3;3
01053;18608;12;13;12
01053;18650;2;2;2
01053;18692;6;6;6
01053;18701;12;13;12
01053;18724;6;6;6
01053;18746;6;6;6
01053;18842;0;0;0
01053;18853;0;0;0
01053;18919;6;6;6
01053;18962;16;16;16
01053;19153;56;63;56
01053;19212;0;0;0
01053;19214;4;4;4
01053;19261;3;3;3
01053;19268;3;3;3
01053;19270;2;2;2
01053;19318;56;63;56
01053;19329;6;6;6
01053;19331;0;0;0
01053;19415;0;0;0
01053;19417;0;0;0
01053;19548;20;21;20
01053;19671;6;6;6
01053;19680;2;2;2
01053;19776;0;0;0
01053;19801;0;0;0
01053;19844;0;0;0
01053;19918;0;0;0
01053;19933;11;11;11
01053;19986;12;13;12
01053;20166;0;0;0
01053;20234;2;2;2
01053;20245;0;0;0
01053;20291;4;4;4
01053;20293;12;13;12
01053;20321;0;0;0
01053;20340;2;2;2
01053;20475;0;0;0
01053;20510;12;13;12
01053;20589;6;6;6
01053;20593;12;13;12
01053;20596;6;6;6
01053;20600;6;6;6
01053;20626;6;6;6
01053;20674;0;0;0
01053;20833;0;0;0
01053;21179;2;2;2
01053;21314;6;6;6
01053;21409;2;2;2
01053;21425;20;21;20
01053;21465;2;2;2
01053;21469;6;6;6
01053;21517;20;21;20
01053;21622;0;0;0
01053;21775;0;0;0
01053;21780;6;6;6
01053;21781;0;0;0
01053;21783;20;21;20
01053;21929;2;2;2
01053;21975;20;21;20
01053;22006;0;0;0
01053;22349;0;0;0
01053;23566;6;6;6
01053;24402;6;6;6
01053;24589;2;2;2
01053;24734;6;6;6
01053;24743;16;16;16
01053;24744;0;0;0
01053;24767;0;0;0
01053;24780;6;6;6
01053;24794;0;0;0
01053;24865;6;6;6
01053;24890;6;6;6
01053;24904;11;11;11
01053;24989;3;3;3
01053;24994;0;0;0
01053;24998;12;13;12
01053;24999;3;3;3
01053;25088;4;4;4
01053;25167;0;0;0
02168;8773;0;0;0
02168;9695;0;0;0
02168;10656;0;0;0
02168;10821;5;6;5
02168;10913;0;0;0
02168;10936;5;5;5
02168;10991;0;0;0
02168;11409;2;2;2
02168;11943;21;23;21
02168;12511;0;0;0
02168;12915;0;0;0
02168;12934;14;15;14
02168;12950;2;2;2
02168;12955;0;0;0
02168;12974;5;6;5
02168;13844;0;0;0
02168;14888;5;6;5
02168;14966;2;2;2
02168;15340;0;0;0
02168;23514;0;0;0
02168;23939;2;2;2
02173;10598;0;0;0
02173;10769;0;0;0
02173;10827;4;5;4
02173;10947;0;0;0
02173;11094;6;6;6
02173;11189;0;0;0
02173;11358;0;0;0
02173;11530;4;4;4
02173;11628;14;15;14
02173;11747;5;5;5
02173;11914;0;0;0
02173;11968;0;0;0
02173;12067;4;4;4
02173;12085;2;2;2
02173;12366;5;5;5
02173;14794;0;0;0
02173;15514;2;2;2
02173;15596;0;0;0
02173;15960;0;0;0
02173;22954;4;4;4
02173;23737;0;0;0
02173;24079;5;5;5
02173;24242;0;0;0
02408;8186;0;0;0
02408;8355;14;15;14
02408;9252;2;2;2
02408;9257;6;6;6
02408;10437;0;0;0
02408;10490;0;0;0
02408;10716;2;2;2
02408;11031;2;2;2
02408;11062;0;0;0
02408;11322;0;0;0
02408;11375;0;0;0
02408;11938;14;15;14
02408;12078;2;2;2
02408;12615;0;0;0
02408;13647;0;0;0
02408;13820;0;0;0
02408;13968;0;0;0
02408;15055;0;0;0
02408;23630;5;6;5
02691;8808;0;0;0
