258 lignes;;Supports TNS;CODE GROUPE CODIPRESSE;CODE MEDIA CODIPRESSE;Supports CodiPresse;CATEGORY;PERIODICITY
127;7829;MARIANNE;101;307;MARIANNE;MAGAZINES;HEBDOMADAIRE
128;1291;MARIE CLAIRE;101;308;MARIE CLAIRE;MAGAZINES;MENSUEL
129;1783;MARIE CLAIRE IDEES;101;310;MARIE CLAIRE IDEES;MAGAZINES;BIMESTRIEL
130;1353;MARIE CLAIRE MAISON;101;311;MARIE CLAIRE MAISON;MAGAZINES;MENSUEL
131;8193;MARIE CLAIRE 2;101;309;MARIE CLAIRE 2;MAGAZINES;INDETERMINE
132;1293;MARIE FRANCE;101;314;MARIE FRANCE;MAGAZINES;MENSUEL
133;6124;MAXI;101;321;MAXI;MAGAZINES;HEBDOMADAIRE
134;4283;MAXI CUISINE;101;322;MAXI CUISINE;MAGAZINES;BIMESTRIEL
135;1761;MIEUX VIVRE VOTRE ARGEN;101;331;MIEUX VIVRE VOTRE ARGENT;MAGAZINES;MENSUEL
136;13447;MILK HS;101;832;MILK DECORATION;MAGAZINES;HORS SERIE
137;1297;MODES & TRAVAUX;101;334;MODES ET TRAVAUX;MAGAZINES;MENSUEL
138;1414;MOI JE LIS;101;337;MOI, JE LIS;MAGAZINES;MENSUEL
139;1361;MON JARDIN-MA MAISON;101;338;MON JARDIN ET MA MAISON;MAGAZINES;MENSUEL
140;6935;MONDE;101;217;LE MONDE QUOTIDIEN- 1ER CAHIER;QUOTIDIENS NAT.;QUOTIDIENNE
141;6057;MONDE DIPLOMATIQUE;101;221;LE MONDE DIPLOMATIQUE;MAGAZINES;MENSUEL
142;4192;MONDE SUP ARGENT&PATRIM.;101;551;LE MONDE ARGENT&PATRIMOINE;QUOTIDIENS NAT.;QUOTIDIENNE
143;9269;MONDE SUP ECONOMIE;101;498;LE MONDE QUOTIDIEN- 2E CAHIER ECO & ENTREPRISE;QUOTIDIENS NAT.;QUOTIDIENNE
144;2494;MONDE SUP EDUCATION;101;220;LE MONDE UNIVERSITES ET GRANDES ECOLES;QUOTIDIENS NAT.;QUOTIDIENNE
145;9270;MONDE SUP LIVRES;101;499;LE MONDE DES LIVRES;QUOTIDIENS NAT.;QUOTIDIENNE
146;6937;MONDE SUP TELEVISION;101;501;LE MONDE TELEVISIONS;QUOTIDIENS NAT.;QUOTIDIENNE
147;2496;MONEYWEEK VIE FINANCIERE;101;663;MONEY WEEK;MAGAZINES;HEBDOMADAIRE
148;1490;MOTO JOURNAL;101;341;MOTO JOURNAL;MAGAZINES;HEBDOMADAIRE
149;4502;MUTEEN;101;342;MUTEEN;MAGAZINES;MENSUEL
150;5758;NATIONAL GEOGRAP.FRANCE;101;344;NATIONAL GEOGRAPHIC;MAGAZINES;MENSUEL
151;17539;NEON;101;812;NEON;MAGAZINES;BIMESTRIEL
152;1300;NOTRE TEMPS;101;347;NOTRE TEMPS;MAGAZINES;MENSUEL
153;1301;NOUS DEUX;101;349;NOUS DEUX;MAGAZINES;HEBDOMADAIRE
154;9364;NOUVEL ECONOMISTE HEBDO;101;797;LE NOUVEL ECONOMISTE;MAGAZINES;HEBDOMADAIRE
155;1365;NOUVEL OBSERVATEUR;101;223;LE NOUVEL OBSERVATEUR;MAGAZINES;HEBDOMADAIRE
156;5505;NUMERO;101;353;NUMERO;MAGAZINES;MENSUEL
157;17519;OBSESSION;101;809;OBSESSION;MAGAZINES;MENSUEL
158;1303;OFFICIEL COUTURE;101;281;L'OFFICIEL;MAGAZINES;MENSUEL
159;1859;OFFICIEL DES SPECTACLES;101;607;L'OFFICIEL DES SPECTACLES;MAGAZINES IDF;HEBDOMADAIRE
160;12265;OFFICIEL HOMME;101;280;L'OFFICIEL HOMMES;MAGAZINES;TRIMESTRIEL
161;1425;OKAPI;101;355;OKAPI;MAGAZINES;BIMENSUEL
162;4259;ONE;101;356;ONE;MAGAZINES;BIMESTRIEL
163;1594;ONZE MONDIAL;101;357;ONZE MONDIAL;MAGAZINES;MENSUEL
164;2543;OOPS;101;611;OOPS!;MAGAZINES;BIMENSUEL
165;19809;OPINION;101;909;L'OPINION;QUOTIDIENS NAT.;QUOTIDIENNE
166;1306;PARENTS;101;359;PARENTS;MAGAZINES;MENSUEL
