 Station 1 
QH  Jour 1       Jour 2       Jour 3       Jour 4       Jour 5       Jour 6       Jour 7
53  0.342067042  0.277794846  0.211517962  0.279076405  0.287296469  0.304035035  0.320691690 
54  0.301996296  0.258790193  0.206210482  0.247318546  0.239099977  0.315472106  0.332747103 
55  0.277680029  0.236888880  0.199883986  0.226480242  0.228313541  0.263084373  0.372238218 
56  0.280023805  0.239606671  0.219077714  0.244558963  0.232576575  0.290308211  0.340850414 
57  0.292093560  0.263583412  0.256101524  0.277624600  0.254328406  0.332239706  0.346670570 
58  0.263593794  0.281735512  0.275886498  0.262820337  0.281414022  0.378347484  0.370751747 
59  0.234116891  0.228868713  0.259952007  0.256865480  0.224390912  0.388783045  0.394012044 
60  0.233016049  0.235185091  0.273874154  0.240602197  0.220449367  0.360105643  0.441565029 
61  0.259827599  0.241220717  0.281673044  0.249501401  0.242906205  0.392390871  0.517812749 
62  0.287124287  0.240356461  0.268823760  0.263548483  0.237111300  0.443819414  0.512854298 
63  0.365510431  0.267139592  0.333089797  0.316430591  0.305514556  0.470956852  0.587920145 
64  0.424966795  0.350150996  0.435326163  0.418738751  0.381105484  0.510767872  0.615171697 
65  0.510947269  0.430575440  0.532648510  0.489520712  0.455691472  0.587099440  0.649933027 
66  0.521934219  0.465294714  0.567186628  0.520216881  0.500074609  0.692656017  0.655552406 
67  0.546860208  0.502228782  0.589890521  0.541106568  0.538502450  0.688576778  0.676191869 
68  0.551766221  0.576237250  0.620428586  0.586804874  0.542855667  0.667840182  0.723133021 
69  0.713245153  0.717858887  0.736951875  0.685076732  0.675221506  0.740998648  0.848926011 
70  0.738288335  0.763860734  0.773933806  0.734603613  0.692089847  0.747967947  0.852784588 
71  0.748136963  0.792842822  0.777893827  0.725758430  0.719609395  0.721014481  0.856925062 
72  0.800592705  0.817534424  0.817375087  0.785624355  0.716688187  0.762067291  0.836514970 
73  0.812471362  0.821821654  0.797603839  0.790843763  0.745465187  0.818739702  0.827442088 
74  0.807161947  0.816306359  0.799580638  0.769049173  0.799273842  0.827611191  0.812761265 
75  0.805042615  0.831287292  0.775906998  0.752337705  0.758364180  0.812386106  0.821681497 
76  0.779065055  0.809099506  0.768223013  0.734112140  0.805954734  0.771822305  0.797634545 
77  0.773301649  0.820108011  0.758618363  0.744717860  0.791917506  0.742986709  0.800458268 
78  0.802463309  0.794007803  0.756823336  0.742045996  0.778103842  0.797594513  0.781412790 
79  0.666601031  0.740418313  0.754563320  0.627667465  0.769877707  0.755019423  0.694773588 
80  0.602940581  0.578445621  0.664752599  0.405160442  0.666221649  0.703873041  0.649906897 
81  0.526517775  0.466814619  0.607907039  0.384779033  0.643803876  0.649534289  0.500463142 
