2010																																																				
TARIFB																																																				
16015P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16102M	141,264	141,264	141,264	141,264	141,264	347,928	347,928	347,928	347,928	266,832	266,832	266,832	266,832	285,144	285,144	285,144	285,144	266,832	266,832	266,832	266,832	266,832	248,52	248,52	248,52	248,52	266,832	266,832	266,832	266,832	266,832	149,112	149,112	149,112	149,112	156,96	156,96	156,96	156,96	292,992	292,992	292,992	292,992	292,992	303,456	303,456	303,456	303,456	421,176	421,176	421,176	421,176
16102P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17300A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17300P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17415A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17415P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18033A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18033P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18279A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18279P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19031A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19031P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19272M	96,7464	96,7464	96,7464	96,7464	96,7464	238,2828	238,2828	238,2828	238,2828	182,7432	182,7432	182,7432	182,7432	195,2844	195,2844	195,2844	195,2844	182,7432	182,7432	182,7432	182,7432	182,7432	170,202	170,202	170,202	170,202	182,7432	182,7432	182,7432	182,7432	182,7432	102,1212	102,1212	102,1212	102,1212	107,496	107,496	107,496	107,496	200,6592	200,6592	200,6592	200,6592	200,6592	207,8256	207,8256	207,8256	207,8256	288,4476	288,4476	288,4476	288,4476
19272P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21054M	188,244	188,244	188,244	188,244	188,244	463,638	463,638	463,638	463,638	355,572	355,572	355,572	355,572	379,974	379,974	379,974	379,974	355,572	355,572	355,572	355,572	355,572	331,17	331,17	331,17	331,17	355,572	355,572	355,572	355,572	355,572	198,702	198,702	198,702	198,702	209,16	209,16	209,16	209,16	390,432	390,432	390,432	390,432	390,432	404,376	404,376	404,376	404,376	561,246	561,246	561,246	561,246
21054P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21231A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21231M	727,5744	727,5744	727,5744	727,5744	727,5744	1791,9888	1791,9888	1791,9888	1791,9888	1374,3072	1374,3072	1374,3072	1374,3072	1468,6224	1468,6224	1468,6224	1468,6224	1374,3072	1374,3072	1374,3072	1374,3072	1374,3072	1279,992	1279,992	1279,992	1279,992	1374,3072	1374,3072	1374,3072	1374,3072	1374,3072	767,9952	767,9952	767,9952	767,9952	808,416	808,416	808,416	808,416	1509,0432	1509,0432	1509,0432	1509,0432	1509,0432	1562,9376	1562,9376	1562,9376	1562,9376	2169,2496	2169,2496	2169,2496	2169,2496
21231P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02168A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
